                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.86833,                0.86917,                0.56145,                0.96466,                0.99324,                0.99896,                0.99331,                0.79348,                0.99324,                0.99896,                0.99331,                0.82043,                0.79002,                0.89272,                0.47161,                0.79632,              0.0016832,              0.0016832,              0.0016832
                     35,                0.83857,                0.88702,                0.54049,                0.95423,                0.98603,                      1,                0.98926,                0.78876,                0.98603,                      1,                0.98926,                0.81697,                0.81014,                0.92557,                0.48494,                0.82531,              0.0016733,              0.0016733,              0.0016733
                     36,                0.84004,                0.83792,                0.52896,                0.95649,                0.97833,                      1,                 0.9867,                0.74445,                0.97833,                      1,                 0.9867,                0.80628,                0.90263,                0.90468,                0.51114,                0.84895,              0.0016634,              0.0016634,              0.0016634
                     37,                0.85096,                0.80195,                0.55625,                0.95332,                0.98311,                      1,                0.98945,                0.78993,                0.98311,                      1,                0.98945,                0.83244,                0.80892,                0.90843,                0.51688,                0.81126,              0.0016535,              0.0016535,              0.0016535
                     38,                0.86306,                0.82193,                0.56496,                0.96909,                0.98447,                      1,                0.98972,                0.76633,                0.98447,                      1,                0.98972,                0.80132,                0.81399,                 0.8869,                0.50189,                0.79398,              0.0016436,              0.0016436,              0.0016436
                     39,                0.85789,                0.83182,                0.54105,                0.96703,                0.97795,                      1,                0.99131,                0.77637,                0.97795,                      1,                0.99131,                0.80333,                0.79452,                0.90142,                0.48578,                0.79685,              0.0016337,              0.0016337,              0.0016337
                     40,                0.81623,                0.81055,                0.52148,                0.94968,                 0.9814,                      1,                0.98786,                0.75618,                 0.9814,                      1,                0.98786,                0.79978,                0.81482,                0.93092,                0.52811,                0.81859,              0.0016238,              0.0016238,              0.0016238
                     41,                0.76365,                0.79471,                0.50162,                0.94468,                0.98475,                      1,                0.99027,                0.77757,                0.98475,                      1,                0.99027,                0.81471,                 0.8417,                0.97448,                0.50222,                0.82103,              0.0016139,              0.0016139,              0.0016139
                     42,                0.80692,                0.80875,                0.51944,                0.93894,                0.97543,                      1,                0.98462,                0.76181,                0.97543,                      1,                0.98462,                0.80982,                0.89004,                0.90445,                0.51007,                0.86309,               0.001604,               0.001604,               0.001604
                     43,                0.83763,                0.84786,                0.53121,                0.95339,                0.98483,                      1,                0.98953,                0.78306,                0.98483,                      1,                0.98953,                0.81835,                0.76594,                0.89817,                0.48751,                 0.7779,              0.0015941,              0.0015941,              0.0015941
                     44,                0.81132,                0.85274,                0.53289,                0.94809,                0.98645,                0.99082,                0.99452,                0.80194,                0.98645,                0.99082,                0.99452,                0.82849,                0.77055,                0.89281,                0.47618,                 0.7772,              0.0015842,              0.0015842,              0.0015842
                     45,                0.79116,                0.83011,                0.50874,                0.94187,                0.99319,                0.99198,                 0.9918,                0.79379,                0.99319,                0.99198,                 0.9918,                0.80393,                0.76515,                0.97838,                0.47006,                0.77211,              0.0015743,              0.0015743,              0.0015743
                     46,                0.81601,                 0.8508,                0.51659,                0.94862,                0.99324,                0.99992,                0.99014,                0.80323,                0.99324,                0.99992,                0.99014,                0.80806,                0.74346,                0.94147,                0.47169,                  0.787,              0.0015644,              0.0015644,              0.0015644
                     47,                 0.7776,                0.80225,                0.50535,                0.93491,                0.98758,                      1,                0.99041,                0.80901,                0.98758,                      1,                0.99041,                0.82519,                0.73241,                0.88292,                 0.4479,                0.77975,              0.0015545,              0.0015545,              0.0015545
                     48,                0.77364,                0.79375,                0.49294,                0.93737,                0.91464,                      1,                0.98505,                0.80082,                0.91464,                      1,                0.98505,                0.81206,                0.74087,                0.94424,                0.55376,                0.77311,              0.0015446,              0.0015446,              0.0015446
                     49,                0.78585,                0.80837,                0.49409,                0.94053,                0.98572,                      1,                0.99236,                0.78949,                0.98572,                      1,                0.99236,                0.83195,                0.75608,                0.90629,                0.51552,                 0.7779,              0.0015347,              0.0015347,              0.0015347
                     50,                0.78108,                0.76801,                0.49519,                0.93693,                0.99041,                      1,                0.99061,                 0.7717,                0.99041,                      1,                0.99061,                0.82082,                0.83828,                0.89924,                 0.5277,                0.79011,              0.0015248,              0.0015248,              0.0015248
                     51,                0.78293,                0.78369,                0.49085,                0.92969,                 0.9846,                      1,                0.98977,                0.77406,                 0.9846,                      1,                0.98977,                 0.8104,                 0.8119,                0.87848,                0.49766,                 0.7921,              0.0015149,              0.0015149,              0.0015149
                     52,                0.76923,                0.79598,                0.48977,                 0.9382,                0.98987,                      1,                0.99101,                0.79557,                0.98987,                      1,                0.99101,                0.82441,                0.73673,                0.87425,                0.42826,                0.76668,               0.001505,               0.001505,               0.001505
                     53,                  0.747,                0.75405,                0.46881,                0.92168,                0.99041,                      1,                0.99412,                0.81607,                0.99041,                      1,                0.99412,                 0.8325,                 0.7108,                0.89755,                0.43881,                0.77153,              0.0014951,              0.0014951,              0.0014951
                     54,                0.77556,                0.79356,                 0.4871,                0.93403,                0.99115,                      1,                0.99486,                0.83051,                0.99115,                      1,                0.99486,                0.83297,                0.71503,                0.90534,                0.44276,                0.75114,              0.0014852,              0.0014852,              0.0014852
                     55,                0.76072,                 0.7709,                0.48512,                 0.9312,                0.99114,                      1,                0.99372,                   0.81,                0.99114,                      1,                0.99372,                0.84642,                0.73022,                0.89438,                0.41657,                0.77924,              0.0014753,              0.0014753,              0.0014753
                     56,                0.77906,                0.76265,                0.47167,                0.92817,                0.98638,                      1,                0.99264,                0.81701,                0.98638,                      1,                0.99264,                0.83152,                0.71443,                0.90128,                0.43719,                0.76807,              0.0014654,              0.0014654,              0.0014654
                     57,                 0.7559,                0.74391,                0.47121,                0.92083,                0.98522,                      1,                0.99372,                 0.7973,                0.98522,                      1,                0.99372,                0.81425,                0.74246,                0.89187,                0.43209,                0.77227,              0.0014555,              0.0014555,              0.0014555
                     58,                0.76663,                0.78555,                0.48226,                0.93529,                0.98598,                      1,                0.99385,                0.80088,                0.98598,                      1,                0.99385,                0.83009,                0.77826,                0.87776,                0.42896,                0.77968,              0.0014456,              0.0014456,              0.0014456
                     59,                0.76333,                 0.7917,                0.47928,                0.94427,                0.98972,                      1,                0.99304,                0.81529,                0.98972,                      1,                0.99304,                0.83896,                0.74831,                0.87662,                0.42249,                0.77333,              0.0014357,              0.0014357,              0.0014357
                     60,                0.75878,                0.78784,                0.48311,                0.93525,                0.98436,                      1,                0.99214,                0.82817,                0.98436,                      1,                0.99214,                0.84166,                 0.6907,                0.87204,                0.39589,                0.75449,              0.0014258,              0.0014258,              0.0014258
                     61,                0.72469,                0.78952,                0.46967,                0.92628,                0.97817,                      1,                0.99175,                0.81764,                0.97817,                      1,                0.99175,                0.82728,                0.72919,                0.90027,                0.42294,                 0.7533,              0.0014159,              0.0014159,              0.0014159
                     62,                0.74501,                0.81754,                0.48138,                0.91854,                 0.9857,                      1,                 0.9917,                0.80296,                 0.9857,                      1,                 0.9917,                0.82245,                0.75619,                0.91675,                0.43714,                0.76692,               0.001406,               0.001406,               0.001406
                     63,                0.74998,                0.82558,                0.46848,                0.92366,                0.98598,                      1,                0.99267,                0.80692,                0.98598,                      1,                0.99267,                0.82035,                0.71924,                 0.9175,                0.41902,                0.76962,              0.0013961,              0.0013961,              0.0013961
                     64,                0.72515,                0.78781,                0.46179,                0.92541,                0.99324,                0.99953,                0.99385,                0.82392,                0.99324,                0.99953,                0.99385,                 0.8206,                0.68879,                0.92078,                0.40659,                0.76649,              0.0013862,              0.0013862,              0.0013862
                     65,                0.73296,                0.79543,                0.46202,                0.92505,                 0.9886,                      1,                0.99277,                0.81805,                 0.9886,                      1,                0.99277,                0.83068,                0.74736,                0.86731,                 0.4165,                0.75797,              0.0013763,              0.0013763,              0.0013763
                     66,                0.73465,                0.77211,                0.45474,                0.91726,                0.98576,                      1,                 0.9895,                0.79901,                0.98576,                      1,                 0.9895,                0.82941,                0.73959,                0.89203,                0.40979,                 0.7587,              0.0013664,              0.0013664,              0.0013664
                     67,                0.72844,                0.81091,                0.45188,                0.92822,                0.98357,                      1,                0.99201,                0.81725,                0.98357,                      1,                0.99201,                0.82589,                0.68689,                0.89742,                0.42145,                 0.7463,              0.0013565,              0.0013565,              0.0013565
                     68,                0.75093,                0.74118,                0.45821,                 0.9321,                0.99179,                      1,                0.99257,                0.80967,                0.99179,                      1,                0.99257,                0.81309,                 0.7046,                0.90916,                0.45312,                0.75641,              0.0013466,              0.0013466,              0.0013466
                     69,                0.73887,                0.77243,                0.46681,                0.92113,                0.98571,                      1,                0.99241,                0.81943,                0.98571,                      1,                0.99241,                0.81836,                0.67978,                0.86535,                0.41059,                0.74734,              0.0013367,              0.0013367,              0.0013367
                     70,                0.73179,                0.79081,                0.45696,                0.92006,                0.99178,                      1,                0.99115,                0.82765,                0.99178,                      1,                0.99115,                0.83189,                0.66474,                0.85513,                0.38522,                0.74988,              0.0013268,              0.0013268,              0.0013268
                     71,                0.70672,                0.75787,                 0.4414,                0.90936,                0.99146,                      1,                0.99223,                0.83816,                0.99146,                      1,                0.99223,                0.83303,                0.65261,                0.92727,                0.39032,                0.74368,              0.0013169,              0.0013169,              0.0013169
                     72,                0.74378,                0.77167,                0.46195,                0.92799,                0.99187,                      1,                0.99331,                0.81383,                0.99187,                      1,                0.99331,                0.83162,                0.67418,                0.82635,                0.40455,                0.74297,               0.001307,               0.001307,               0.001307
                     73,                0.69998,                0.75194,                0.44766,                 0.9159,                0.99234,                      1,                0.99135,                0.82894,                0.99234,                      1,                0.99135,                0.82649,                 0.6531,                0.85831,                0.40936,                0.73702,              0.0012971,              0.0012971,              0.0012971
                     74,                0.73071,                0.77198,                0.46552,                 0.9274,                0.99101,                      1,                   0.99,                0.83623,                0.99101,                      1,                   0.99,                0.83724,                0.63967,                0.87297,                0.39444,                0.73085,              0.0012872,              0.0012872,              0.0012872
                     75,                0.67849,                0.78411,                0.43731,                0.91565,                 0.9891,                      1,                0.99216,                0.82672,                 0.9891,                      1,                0.99216,                0.83052,                0.67231,                0.89871,                0.40804,                0.74499,              0.0012773,              0.0012773,              0.0012773
                     76,                 0.7112,                0.78983,                0.44743,                0.92431,                0.98618,                      1,                0.99034,                0.82622,                0.98618,                      1,                0.99034,                0.83465,                0.66354,                0.87182,                0.39139,                 0.7307,              0.0012674,              0.0012674,              0.0012674
