FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
14.0,3.0,14.0,15.0,2.0,0.031315240083507306,32.0,33.0,0.21428571428571427,1.0289532293986636,0.10980143229166667,2024-04-05_09_44_40_(10543)_sardine_input_(0).png,yes,yes
14.0,5.0,15.0,15.0,2.0,0.031315240083507306,35.0,36.0,0.35714285714285715,1.0658174097664543,0.12103352864583333,2024-04-05_09_44_40_(10543)_sardine_input_(1).png,yes,yes
15.0,4.0,15.0,15.0,2.0,0.031315240083507306,35.0,39.0,0.26666666666666666,1.0375782881002087,0.1294677734375,2024-04-05_09_44_40_(10543)_sardine_input_(2).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.031512605042016806,35.0,45.0,0.2,1.0334728033472804,0.14814290364583332,2024-04-05_09_45_00_(10544)_sardine_input_(0).png,yes,yes
13.0,5.0,14.0,15.0,2.0,0.031512605042016806,33.0,34.0,0.38461538461538464,1.0779816513761469,0.11197265625,2024-04-05_09_45_00_(10544)_sardine_input_(1).png,yes,yes
12.0,3.0,13.0,15.0,2.0,0.031512605042016806,30.0,31.0,0.25,1.0323383084577114,0.10333821614583333,2024-04-05_09_45_00_(10544)_sardine_input_(2).png,yes,yes
13.0,4.0,14.0,15.0,1.0,0.031315240083507306,32.0,34.0,0.3076923076923077,1.056689342403628,0.113349609375,2024-04-05_09_45_33_(10545)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.031315240083507306,35.0,37.0,0.2,1.0250521920668059,0.12498046875,2024-04-05_09_45_33_(10545)_sardine_input_(1).png,yes,yes
13.0,4.0,13.0,15.0,1.0,0.031315240083507306,33.0,31.0,0.3076923076923077,1.051764705882353,0.10304850260416666,2024-04-05_09_45_33_(10545)_sardine_input_(2).png,yes,yes
14.0,4.0,15.0,15.0,2.0,0.031315240083507306,36.0,45.0,0.2857142857142857,1.0397489539748954,0.15210774739583333,2024-04-05_09_45_47_(10546)_sardine_input_(0).png,yes,yes
13.0,3.0,14.0,15.0,2.0,0.031315240083507306,33.0,32.0,0.23076923076923078,1.0247191011235954,0.10850748697916666,2024-04-05_09_45_47_(10546)_sardine_input_(1).png,yes,yes
13.0,3.0,14.0,15.0,2.0,0.031315240083507306,32.0,31.0,0.23076923076923078,1.0272727272727273,0.10420735677083333,2024-04-05_09_45_47_(10546)_sardine_input_(2).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.03138075313807531,35.0,39.0,0.2,1.0271398747390397,0.13009114583333334,2024-04-05_09_46_04_(10547)_sardine_input_(0).png,yes,yes
14.0,3.0,14.0,15.0,2.0,0.03138075313807531,33.0,34.0,0.21428571428571427,1.0263157894736843,0.1149267578125,2024-04-05_09_46_04_(10547)_sardine_input_(1).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.03138075313807531,35.0,34.0,0.21428571428571427,1.021186440677966,0.1156103515625,2024-04-05_09_46_04_(10547)_sardine_input_(2).png,yes,yes
14.0,3.0,14.0,15.0,1.0,0.031315240083507306,34.0,31.0,0.21428571428571427,1.0217391304347827,0.10388020833333333,2024-04-05_09_46_28_(10548)_sardine_input_(0).png,yes,yes
15.0,5.0,16.0,15.0,1.0,0.031315240083507306,38.0,43.0,0.3333333333333333,1.0668058455114822,0.14578450520833333,2024-04-05_09_46_28_(10548)_sardine_input_(1).png,yes,yes
12.0,4.0,12.0,15.0,1.0,0.031315240083507306,30.0,28.0,0.3333333333333333,1.0544041450777202,0.09421223958333333,2024-04-05_09_46_28_(10548)_sardine_input_(2).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.03138075313807531,34.0,36.0,0.21428571428571427,1.0314465408805031,0.12152180989583333,2024-04-05_09_46_45_(10549)_sardine_input_(0).png,yes,yes
13.0,2.0,13.0,15.0,2.0,0.03138075313807531,31.0,27.0,0.15384615384615385,1.0235294117647058,0.09246256510416667,2024-04-05_09_46_45_(10549)_sardine_input_(1).png,yes,yes
12.0,3.0,13.0,15.0,2.0,0.03138075313807531,30.0,28.0,0.25,1.026634382566586,0.095849609375,2024-04-05_09_46_45_(10549)_sardine_input_(2).png,yes,yes
13.0,4.0,14.0,15.0,1.0,0.03138075313807531,33.0,26.0,0.3076923076923077,1.0477272727272726,0.08648763020833333,2024-04-05_09_47_04_(10550)_sardine_input_(0).png,yes,yes
13.0,2.0,13.0,15.0,1.0,0.03138075313807531,30.0,23.0,0.15384615384615385,1.0215827338129497,0.07833821614583333,2024-04-05_09_47_04_(10550)_sardine_input_(1).png,yes,yes
