SegmentedFilename,FishDetected,ScaleDetected,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio
2024-05-23_10_25_52_(13052)_sardine_input_(1).png,yes,yes,16.0,4.0,16.0,15.0,1.0,0.038860103626943004,38.0,46.0,0.25,1.0289156626506024,0.101240234375
2024-05-23_10_25_52_(13052)_sardine_input_(2).png,yes,yes,17.0,4.0,17.0,15.0,1.0,0.038860103626943004,40.0,56.0,0.23529411764705882,1.0316742081447965,0.121533203125
2024-05-23_10_26_03_(13053)_sardine_input_(0).png,yes,yes,17.0,4.0,18.0,15.0,1.0,0.03768844221105527,40.0,58.0,0.23529411764705882,1.0277185501066097,0.13322265625
2024-05-23_10_26_03_(13053)_sardine_input_(1).png,yes,yes,16.0,4.0,16.0,15.0,1.0,0.03768844221105527,37.0,49.0,0.25,1.0325581395348837,0.11276041666666667
2024-05-23_10_26_03_(13053)_sardine_input_(2).png,yes,yes,14.0,3.0,14.0,15.0,1.0,0.03768844221105527,35.0,32.0,0.21428571428571427,1.0205128205128204,0.0735498046875
2024-05-23_10_26_14_(13054)_sardine_input_(0).png,yes,yes,16.0,4.0,17.0,15.0,1.0,0.036855036855036855,38.0,55.0,0.25,1.0353200883002207,0.13361328125
2024-05-23_10_26_14_(13054)_sardine_input_(1).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.036855036855036855,34.0,42.0,0.2,1.0291970802919708,0.10297200520833333
2024-05-23_10_26_14_(13054)_sardine_input_(2).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.036855036855036855,35.0,41.0,0.2,1.0240384615384615,0.1002734375
2024-05-23_10_26_24_(13055)_sardine_input_(0).png,yes,yes,16.0,4.0,16.0,15.0,1.0,0.03579952267303103,37.0,49.0,0.25,1.0287610619469028,0.125302734375
2024-05-23_10_26_24_(13055)_sardine_input_(1).png,yes,yes,15.0,3.0,16.0,15.0,1.0,0.03579952267303103,36.0,35.0,0.2,1.0275862068965518,0.09040852864583333
2024-05-23_10_26_24_(13055)_sardine_input_(2).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.03579952267303103,34.0,36.0,0.2,1.0237529691211402,0.09316080729166666
2024-05-23_10_26_34_(13056)_sardine_input_(0).png,yes,yes,16.0,3.0,16.0,15.0,1.0,0.036855036855036855,37.0,48.0,0.1875,1.0269662921348315,0.11652669270833334
