FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
17.0,4.0,17.0,15.0,2.0,0.00821917808219178,41.0,43.0,0.23529411764705882,1.0308880308880308,0.08954708333333333,20241217102834835_sardine_good_(1).png,yes,yes
17.0,3.0,18.0,15.0,1.0,0.007961783439490446,42.0,45.0,0.17647058823529413,1.0206370569762224,0.09912881944444445,20241217102914926_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,1.0,0.007961783439490446,43.0,44.0,0.23529411764705882,1.032287403365166,0.09758826388888889,20241217102914926_sardine_good_(1).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.007970244420828906,43.0,44.0,0.17647058823529413,1.0199004975124377,0.09651916666666667,20241217102929334_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.007970244420828906,43.0,45.0,0.23529411764705882,1.0382366171839856,0.09993416666666667,20241217102929334_sardine_good_(1).png,yes,yes
16.0,3.0,17.0,15.0,2.0,0.0079155672823219,42.0,41.0,0.1875,1.0196078431372548,0.09142680555555556,20241217102941744_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.0079155672823219,44.0,48.0,0.23529411764705882,1.0255506607929517,0.10681666666666667,20241217102941744_sardine_good_(1).png,yes,yes
16.0,4.0,17.0,15.0,2.0,0.007944915254237288,41.0,43.0,0.25,1.0422336931018301,0.09663416666666666,20241217103025485_sardine_good_(0).png,yes,yes
17.0,3.0,18.0,15.0,2.0,0.007944915254237288,42.0,45.0,0.17647058823529413,1.023671281822242,0.09955138888888888,20241217103025485_sardine_good_(1).png,yes,yes
17.0,3.0,18.0,15.0,2.0,0.00927643784786642,43.0,45.0,0.17647058823529413,1.0198640878201777,0.07362729166666666,20241217103216725_sardine_good_(0).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.00927643784786642,44.0,47.0,0.2222222222222222,1.0303497942386832,0.0760948611111111,20241217103216725_sardine_good_(1).png,yes,yes
16.0,4.0,16.0,15.0,1.0,0.007903055848261328,40.0,39.0,0.25,1.0305825242718447,0.08682458333333333,20241217103233539_sardine_good_(0).png,yes,yes
16.0,4.0,17.0,15.0,1.0,0.007903055848261328,42.0,42.0,0.25,1.0286654135338347,0.09373805555555556,20241217103233539_sardine_good_(1).png,yes,yes
19.0,5.0,20.0,15.0,1.0,0.00725689404934688,48.0,46.0,0.2631578947368421,1.037037037037037,0.12346347222222222,20241217103402817_sardine_good_(0).png,yes,yes
18.0,4.0,18.0,15.0,1.0,0.00725689404934688,46.0,44.0,0.2222222222222222,1.02874251497006,0.11659854166666667,20241217103402817_sardine_good_(1).png,yes,yes
19.0,4.0,19.0,15.0,1.0,0.007444168734491315,46.0,47.0,0.21052631578947367,1.03027950310559,0.11801333333333333,20241217103432670_sardine_good_(0).png,yes,yes
17.0,3.0,18.0,15.0,1.0,0.007444168734491315,44.0,41.0,0.17647058823529413,1.0214736842105263,0.10453291666666667,20241217103432670_sardine_good_(1).png,yes,yes
