SegmentedFilename,FishDetected,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,ScaleDetected
20240921100655604_sardine_good_(0).png,yes,18.0,3.0,19.0,15.0,1.0,0.005707762557077625,46.0,51.0,0.16666666666666666,1.0207394048692515,0.2203575,yes
20240921100706615_sardine_good_(0).png,yes,22.0,5.0,23.0,15.0,1.0,0.005893909626719057,56.0,66.0,0.22727272727272727,1.0336245697643633,0.2678202083333333,yes
20240921100715934_sardine_good_(0).png,yes,21.0,4.0,22.0,15.0,1.0,0.0063371356147021544,53.0,70.0,0.19047619047619047,1.022422830518346,0.2447775,yes
20240921100734160_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.005723006486074018,42.0,46.0,0.23529411764705882,1.0326016785022596,0.19662631944444445,yes
20240921100741355_sardine_good_(0).png,yes,18.0,3.0,18.0,15.0,2.0,0.005480453050785532,45.0,47.0,0.16666666666666666,1.0214566334239952,0.2200015277777778,yes
20240921100757157_sardine_good_(0).png,yes,17.0,3.0,18.0,15.0,2.0,0.005683971201212581,43.0,43.0,0.17647058823529413,1.0199485199485199,0.18623805555555556,yes
20240921100804443_sardine_good_(0).png,yes,19.0,4.0,19.0,15.0,1.0,0.0056179775280898875,48.0,44.0,0.21052631578947367,1.0244969378827646,0.19580479166666667,yes
20240921100812847_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,1.0,0.00539568345323741,43.0,41.0,0.17647058823529413,1.0224684518313327,0.19639965277777777,yes
20240921100821690_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,1.0,0.005405405405405406,42.0,45.0,0.23529411764705882,1.026518655565834,0.21862659722222222,yes
20240921100831450_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.005707762557077625,44.0,44.0,0.2222222222222222,1.0250391236306728,0.19096868055555555,yes
20240921100847692_sardine_good_(0).png,yes,18.0,3.0,18.0,15.0,1.0,0.005535055350553505,46.0,46.0,0.16666666666666666,1.0227817745803358,0.21167847222222222,yes
20240921100901840_sardine_good_(0).png,yes,17.0,3.0,18.0,15.0,1.0,0.005995203836930456,43.0,46.0,0.17647058823529413,1.0214190093708166,0.1806223611111111,yes
20240921100912372_sardine_good_(0).png,yes,19.0,4.0,19.0,15.0,1.0,0.005893909626719057,47.0,48.0,0.21052631578947367,1.030021665119158,0.19565472222222222,yes
20240921100924868_sardine_good_(0).png,yes,19.0,3.0,19.0,15.0,2.0,0.005658242172764994,46.0,51.0,0.15789473684210525,1.0192193968066232,0.22505583333333334,yes
20240921101540225_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240921101548583_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.0053898670499461015,45.0,45.0,0.23529411764705882,1.0243243243243243,0.21596208333333333,yes
20240921101600582_sardine_good_(0).png,yes,18.0,4.0,19.0,15.0,1.0,0.005378271782000717,45.0,51.0,0.2222222222222222,1.0242774566473989,0.24933868055555555,yes
20240921101608823_sardine_good_(0).png,yes,18.0,3.0,19.0,15.0,1.0,0.005622188905547227,45.0,52.0,0.16666666666666666,1.022597167821633,0.22850444444444445,yes
20240921101924410_sardine_good_(0).png,yes,18.0,5.0,19.0,15.0,1.0,0.005658242172764994,47.0,48.0,0.2777777777777778,1.0487879717704818,0.21101555555555557,yes
20241005102144746_sardine_good_(0).png,yes,20.0,4.0,20.0,15.0,1.0,0.0056179775280898875,51.0,58.0,0.2,1.024222405725296,0.25601993055555555,yes
20241005102208917_sardine_good_(0).png,yes,18.0,6.0,19.0,16.0,5.0,0.006587615283267457,48.0,62.0,0.3333333333333333,1.0627629733520336,0.19900409722222223,yes
20241005102217325_sardine_good_(0).png,yes,18.0,4.0,19.0,15.0,1.0,0.005688282138794084,45.0,46.0,0.2222222222222222,1.0259462759462759,0.20108576388888888,yes
20241005102233233_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,2.0,0.005919494869771113,43.0,47.0,0.23529411764705882,1.0252911813643928,0.18740833333333334,yes
20241005102256550_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,1.0,0.005239259517988124,43.0,42.0,0.17647058823529413,1.021482602118003,0.21500125,yes
20241005102337133_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,2.0,0.005326704545454545,44.0,49.0,0.2222222222222222,1.0267131242740999,0.24016743055555556,yes
